#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
allowed_to_serve_holy_order;Allowed to Join Order;Autorisé à l'ordre de jointure;Dem Orden beitreten dürfen;;Mascotas a unirse a orden;;;;;;;;;x
EVTDESC_ancrel_0037;The vates fetch your son, [From.GetTitledFirstName], from his dungeon and lead him to the grove. There he is layed down on the ground. Before the druid plunges his knife into him, your son looks at you with tearful eyes. Please don't, [Root.GetFatherMother]... please don't.;Les gardes vont chercher votre fils, [From.GetTitledFirstName], au cachot et l'escortent au temple. On lui passe la corde au cou et on la fixe sur une branche de chêne solide. Avant que vos gardes tirent sur la corde, votre fils vous regarde en larmes. 'S'il-vous-plait, [Root.GetFatherMother]... ne faites pas ça !';Die Wachen holen Euren Sohn, [From.GetTitledFirstName], aus seinem Kerker und führen ihn in den Hain. Dort wird er auf den Boden gelegt. Bevor der Druide sein Messer in ihn stößt, schaut dich dein Sohn mit tränenreichen Augen an. Bitte nicht, [Root.GetFatherMother] ... bitte nicht.;;Los guardias van a buscar a tu hijo, [From.GetTitledFirstName], a su mazmorra y lo llevan al templo. Allí le ponen la soga al cuello, y lanzan la cuerda a una robusta rama de un roble cercano. Antes de que tus hombres tiren de la cuerda, tu hijo te mira con ojos llorosos. “No por favor, [Root.GetFatherMother]..., no por favor.”;;;;;;;;;x
EVTOPTA_ancrel_0037;Do it, men.;Soldats, allez-y.;Tut es, Männer.;;Hacedlo, hombres.;;;;;;;;;x
EVTOPTB_ancrel_0037;I can't do this... not to my own boy...;Je ne peux pas faire ça... pas à mon propre fils...;Ich kann das nicht tun... nicht mit meinem eigenen Jungen...;;No puedo hacerlo… no a mi chico…;;;;;;;;;x
EVTDESC_ancrel_0038;Your daughter, [From.GetTitledFirstName], is pulled from her dungeon and brought to the grove by the vates. As the druid slowly puts his hands around her neck, she looks at you with a desperate yet piercing glare. Is this really what you have been reduced to, [Root.GetFatherMother]? To do this... against your own daughter?;Les gardes sortent votre fille, [From.GetTitledFirstName], du cachot et la traînent au temple. Alors qu'ils lui passent la corde au cou, elle vous envoie un regard désespéré mais acéré. 'Êtes-vous donc vraiment descendu aussi bas, [Root.GetFatherMother] ? Faire ça... à votre propre fille ?';Eure Tochter, [From.GetTitledFirstName], wird von den Wachen aus ihrem Kerker geholt und in den Hain gebracht. Als der Druide langsam seine Hände um ihren Hals legt, sieht sie Euch mit einem verzweifelten, aber durchdringenden Blick an. Ist es wirklich das, worauf du reduziert wurdest, [Root.GetFatherMother]? Das zu tun... gegen Eure eigene Tochter?;;Tu hija, [From.GetTitledFirstName], es sacada a empujones de su mazmorra y traída al templo por tus guardias. Mientras le ponen la soga al cuello, te mira con ojos desesperados y mirada penetrante.”¿Esto es a lo que te han reducido, [Root.GetFatherMother]? ¿Para hacer esto… contra tu propia hija?”;;;;;;;;;x
EVTOPTA_ancrel_0038;You have left me with little choice.;Vous ne m'avez pas vraiment laissé le choix.;Ihr habt mir keine andere Wahl gelassen.;;No me has dejado mucha opción.;;;;;;;;;x
EVTOPTB_ancrel_0038;No, send her back... not to my girl...;Non, renvoyez-là... je ne peux faire ça à ma fille...;Nein, schickt sie zurück... nicht zu meinem Mädchen...;;No, lleváosla… no a mi hija…;;;;;;;;;x
EVTDESC_ancrel_0039;[From.GetTitledFirstName] is brought from your dungeons by the vates and placed near the well in front of the grove. As they start plunging [From.GetHerHim] in the cold water, [From.GetFirstName] cries out to you. Don't do this, [Root.GetFirstName]! We are family and of the same blood!;Les gardes traînent [From.GetTitledFirstName] depuis les cachots jusqu'à la potence à l'extérieur du temple. Lorsqu'ils lui passent la corde au cou, [From.GetFirstName] hurle à votre attention. 'Ne faites pas ça, [Root.GetFirstName] ! Nous sommes de la même famille, nous sommes du même sang !';[From.GetTitledFirstName] wird von den Wachen aus Euren Kerkern geholt und in der Nähe des Brunnens vor dem Hain platziert. Als sie beginnen, [From.GetHerHim] in das kalte Wasser zu tauchen, schreit [From.GetFirstName] zu Euch. Tu das nicht, [From.GetFirstName]! Wir sind eine Familie und haben das gleiche Blut!;;Los guardias llevan a [From.GetTitledFirstName] desde tus mazmorras hasta la horca enfrente del templo. Mientras le ponen la soga alrededor de [From.GetHerHis] cuello,  [From.GetFirstName] te grita. “¡No lo hagas, [Root.GetFirstName]! ¡Somos familia de la misma sangre!”;;;;;;;;;x
EVTOPTA_ancrel_0039;Yes, and that only proves my devotion to Manawydan.;Oui, et cela prouve mon grand dévouement envers Odin. ;Ja, und das beweist nur meine Ergebenheit gegenüber Manawydan.;;Sí, y eso sólo prueba mi devoción a Odín.;;;;;;;;;x
EVTOPTB_ancrel_0039;It is true... [From.GetSheHe] is kin.;C'est vrai... [From.GetSheHe] est de ma famille.;Es ist wahr... [From.GetSheHe] ist verwandt.;;Es verdad… [From.GetSheHe] es pariente.;;;;;;;;;x
EVTDESC_ancrel_0040;Your spouse, [From.GetTitledFirstName], is dragged in the middle of the grove as the vates readie his weapon. In a last desperate effort to save  [From.GetHerselfHimself], [From.GetFirstName] calls out to you for mercy. I have always loved you, [Root.GetFirstName]... and I always will.;Les gardes traînent [From.GetTitledFirstName], votre époux/épouse, jusqu'à la potence en face du temple et lui passent la corde au cou. Dans un ultime effort désespéré pour sauver sa vie, [From.GetFirstName] demande grâce en criant. 'Je vous ai toujours aimé(e), [Root.GetFirstName]... et je vous aimerai toujours.';Euer Gemahl, [From.GetTitledFirstName], wird mitten durch den Hain geschleift, während die Wachen seine Waffe bereithalten. In einem letzten verzweifelten Versuch, [From.GetHerselfHimself] zu retten, bittet [From.GetFirstName] dich um Gnade. Ich habe dich immer geliebt, [From.GetFirstName]... und ich werde dich immer lieben.;;Tu esposa, [From.GetTitledFirstName], es arrastrada a la horca delante del templo y los guardias le ponen la soga alrededor de [From.GetHerHis] cuello. En un último esfuerzo por salvarse a [From.GetHerselfHimself], [From.GetFirstName] te pide misericordia. “Siempre te he querido, [Root.GetFirstName]... y siempre te querré”;;;;;;;;;x
EVTOPTA_ancrel_0040;Forgive me then, my love, but this is how it must be.;Dans ce cas, pardonne-moi, mon amour, il ne peut en être autrement.;Verzeih mir also, meine Liebe, aber so muss es sein.;;Perdóname entonces, mi amor, pero es lo que tiene que ser.;;;;;;;;;x
EVTOPTB_ancrel_0040;No, this is too much... I can't permit it.;Non, ça va trop loin... Je ne peux pas permettre ça.;Nein, das ist zu viel... Ich kann es nicht zulassen.;;No, esto es demasiado… No puedo permitirlo.;;;;;;;;;x
EVTDESC_ancrel_0041;From deep within your dungeons, your guards bring out [From.GetTitledFirstName], your Skræling prisoner. As they drag [From.GetHerHim] to the front of the grove and the druid sprinkles [From.GetHerHis] face with blood, the Skræling shouts something in [From.GetHerHis] own language and stares at you defiantly.;Depuis les profondeurs de vos cachots, vos gardent sortent [From.GetTitledFirstName], votre prisonnier skræling. Pendant qu'ils le traînent en face du temple et lui passent la corde au cou, le Skræling hurle quelque chose dans sa langue et vous envoie un regard provocateur.   ;Aus den Tiefen Eurer Kerker holen Eure Wachen [From.GetTitledFirstName], Euren Skræling-Gefangenen, heraus. Während sie [From.GetHerHim] vor den Hain schleifen und der Druide [From.GetHerHim] mit Blut bespritzt, schreit der Skræling etwas in [From.GetHerHim] eigener Sprache und starrt Euch trotzig an.;;Desde lo profundo de tus calabozos, los guardias traen a [From.GetTitledFirstName], tu prisionero Skraeling. Mientras le arrastran a [From.GetHerHim] al frente del templo y ponen la soga alrededor de [From.GetHerHis] cuello, el Skraeling grita algo en [From.GetHerHis] idioma y te mira desafiante.;;;;;;;;;x
EVTOPTA_ancrel_0041;Let us show you how a proper human sacrifice is done.;Nous allons vous montrer comment on sacrifie un humain.;Lasst uns euch zeigen, wie ein richtiges Menschenopfer durchgeführt wird.;;Déjanos enseñarte como se hace un verdadero sacrificio humano.;;;;;;;;;x
EVTOPTB_ancrel_0041;No, this brave Skræling shall live to see another day.;Non, ce brave Skræling verra le soleil se lever demain.;Nein, dieser tapfere Skræling soll einen anderen Tag erleben.;;No, este valiente Skraeling tiene que vivir para ver otro día.;;;;;;;;;x
EVTDESC_ancrel_0042;[FromFrom.GetTitledFirstName] is dragged to the great oak in the middle of the grove and forced to [FromFrom.GetHerHis] knees. Soon [FromFrom.GetFirstName]'s body lies limply on the cold ground.;On traîne [FromFrom.GetTitledFirstName] jusqu'au gros chêne en face du temple et on lui passe la corde autour du cou. Bientôt, son corps pendouille mollement à l'une des branches de l'arbre, oscillant au gré du vent.;[From.GetTitledFirstName] wird zu der großen Eiche in der Mitte des Hains geschleppt und auf die Knie gezwungen [FromFrom.GetHerHis]. Bald liegt der Körper von [From.GetFirstName] schlaff auf dem kalten Boden.;;[FromFrom.GetTitledFirstName] es arrastrado al gran roble enfrente del templo y le ponen la soga alrededor de [FromFrom.GetHerHis] cuello. Pronto, el cuerpo de [FromFrom.GetFirstName] cuelga sin fuerza en la brisa desde una de las ramas del árbol.;;;;;;;;;x
EVTOPTA_ancrel_0042;This should please the gods!;Cela devrait plaire aux dieux !;Das sollte die Götter erfreuen!;;¡Esto le gustará a los dioses!;;;;;;;;;x
EVTDESC_ancrel_0043;Your liege's guards have brought a Christian, [FromFrom.GetTitledFirstName], to the big oak in the middle of the grove. As the druid slowly circles [FromFrom.GetHerHim], [FromFrom.GetSheHe] continues to prattle on about the Holy Spirit and how we shall all suffer in Hell for our sins... but soon [FromFrom.GetSheHe] speaks no more.;Les gardes de votre seigneur ont amené un chrétien, [FromFrom.GetTitledFirstName], sous le grand chêne en face du temple. Alors qu'on lui passe la corde au cou, [FromFrom.GetSheHe] continue à débattre à propos du Saint-Esprit et du fait que nos péchés nous mèneront droit en Enfer... puis [FromFrom.GetSheHe] se tait à jamais.;Die Wachen Eures Lehnsherrn haben einen Christen, [FromFrom.GetTitledFirstName], zu der großen Eiche in der Mitte des Hains gebracht. Während der Druide [From.GetHerHim] langsam umkreist, plappert [From.GetSheHe] weiter über den Heiligen Geist und darüber, wie wir alle in der Hölle für unsere Sünden leiden werden ... aber bald spricht [From.GetSheHe] nicht mehr.;;Los guardias de tu señor han traído a un Cristiano, [FromFrom.GetTitledFirstName], al gran roble delante del templo. Mientras ponen la soga alrededor de [FromFrom.GetHerHis] cuello, [FromFrom.GetSheHe] sigue balbuceando sobre el Espíritu Santo y cómo todos sufriremos  en el Infierno por nuestros pecados… pero pronto [FromFrom.GetSheHe] ya no habla más.;;;;;;;;;x
EVTDESC_ancrel_0044;[FromFrom.GetTitledFirstName], a Mohammedan from your liege's dungeons, has been brought to the grove and will now be sacrificed to the gods. As [FromFrom.GetSheHe] is forced to [FromFrom.GetHerHis] knees in front of a small pond, [FromFrom.GetSheHe] quotes a passage from their holy book right up until the vates plunge [FromFrom.GetHerHis] head in the water.;[FromFrom.GetTitledFirstName], un mahométan sorti des cachots de votre seigneur, a été conduit au temple et sera sacrifié aux dieux.  Alors qu'on lui passe la corde au cou, [FromFrom.GetSheHe] cite un passage de son livre sacré jusqu'à ce que le noeud se resserre et que ses pieds quittent le sol.;[FromFrom.GetTitledFirstName], ein Mohammedaner aus den Kerkern Eures Lehnsherrn, wurde in den Hain gebracht und soll nun den Göttern geopfert werden. Während [From.GetSheHe] vor einem kleinen Teich auf die Knie gezwungen wird, zitiert [From.GetSheHe] eine Passage aus ihrem heiligen Buch, bis die Wachen [From.GetHerHis] Kopf in das Wasser tauchen.;;[FromFrom.GetTitledFirstName], un Mahometano de las mazmorras de tu señor, ha sido llevado al templo y será sacrificado a los dioses. Mientras le ponen la soga alrededor de [FromFrom.GetHerHis] cuello, [FromFrom.GetSheHe] cita un pasaje de su libro sagrado hasta que la cuerda se aprieta y [FromFrom.GetHerHis] pies se levantan del suelo.;;;;;;;;;x
EVTDESC_ancrel_0045;Your liege has told [From.GetHerHis] men to fetch [FromFrom.GetTitledFirstName], [From.GetHerHis] own brother, from the dungeons. [From.GetFirstName] betrays no emotion as [FromFrom.GetFirstName] is brought down to his knees in the middle of the grove, and soon his severed head can be seen rolling on the ground.;Votre seigneur a demandé à ses hommes de ramener des cachots [FromFrom.GetTitledFirstName], son propre frère. [From.GetFirstName] ne montre aucune émotion alors que [FromFrom.GetFirstName] est conduit à la potence dressée face au temple. Peu de temps après, on peut voir son cadavre se balancer lentement au gré du vent.;Euer Herr hat [From.GetHerHis] Männern befohlen, [FromFrom.GetTitledFirstName], [From.GetHerHis] eigenen Bruder, aus den Kerkern zu holen. [From.GetFirstName] zeigt keine Regung, als [FromFrom.GetFirstName] in der Mitte des Hains auf die Knie gezwungen wird, und schon bald kann man seinen abgetrennten Kopf auf dem Boden rollen sehen.;;Tu señor le ha dicho a [From.GetHerHis] hombres que busquen a [FromFrom.GetTitledFirstName], [From.GetHerHis] propio hermano, en las mazmorras. [From.GetFirstName] no muestra ninguna emoción mientras llevan a [FromFrom.GetFirstName] a la horca delante del templo, y pronto se puede ver su cuerpo meciéndose alante y atrás en el viento.;;;;;;;;;x
EVTDESC_ancrel_0046;It seems your liege has decided to sacrifice [FromFrom.GetTitledFirstName], [From.GetHerHis] own sister, to the gods. She has been brought out from [From.GetFirstName]'s dark dungeons, and while she squints her eyes in the unfamiliar daylight, the vates force her to her knees. Moments later her eyes are forever dead and listless.;Il semble que votre seigneur ait décidé de sacrifier aux dieux [FromFrom.GetTitledFirstName], sa propre soeur. On la sort des sombres cachots de [From.GetFirstName] et elle a à peine le temps de s'habituer à la lumière du jour que les gardes lui ont déjà passé la corde au cou. Quelques instants plus tard, ses yeux sont figés pour l'éternité.;Wie es scheint, hat Euer Herr beschlossen, [FromFrom.GetTitledFirstName], [From.GetHerHis] eigene Schwester, den Göttern zu opfern. Sie wurde aus den dunklen Kerkern von [From.GetFirstName] geholt, und während sie im ungewohnten Tageslicht die Augen zusammenkneift, zwingen die Wachen sie auf die Knie. Augenblicke später sind ihre Augen für immer tot und lustlos.;;Parece que tu señor ha decidido sacrificar a [FromFrom.GetTitledFirstName], [From.GetHerHis] propia hermana, a los dioses. La han traído  de la oscura mazmorra de [From.GetFirstName], y mientras acostumbra sus ojos a la luz del día, los guardias le ponen la soga al cuello. Momentos después sus ojos están cerrados para siempre.;;;;;;;;;x
EVTDESC_ancrel_0047;To your surprise, [FromFrom.GetTitledFirstName] orders [FromFrom.GetHerHis] guards to bring out [FromFrom.GetTitledFirstName] - [FromFrom.GetHerHis] own father. He is sprinkled with blood and led to the nearest pit, soon he joins the others laying at the bottom of the pit with dead, gaping eyes.;À votre grand étonnement, [FromFrom.GetTitledFirstName] a ordonné à ses gardes de faire sortir [FromFrom.GetTitledFirstName], son propre père. On le conduit à la potence dressée face au temple où il rejoint bien vite les autres corps qui se balancent aux branches, mort, les yeux grand ouverts.;Zu Ihrer Überraschung befiehlt [From.GetTitledFirstName] den Wachen, [From.GetTitledFirstName] - [From.GetHerHis] eigenen Vater - herauszubringen. Er wird mit Blut besprengt und in die nächste Grube geführt, wo er sich bald zu den anderen gesellt, die mit toten, klaffenden Augen auf dem Grund der Grube liegen.;;Para tu sorpresa, [FromFrom.GetTitledFirstName] ordena a [FromFrom.GetHerHis] guardias que saquen a [FromFrom.GetTitledFirstName], [FromFrom.GetHerHis] propio padre. Es traído a la horca delante del templo, y pronto se une a los otros colgando sin fuerzas de las ramas, con enormes ojos muertos.;;;;;;;;;x
